step,loss,l2_loss,loss_g0,loss_g1,loss_g2,contrastive_loss,auxk_loss
0,1847.6346435546875,1836.868896484375,28.740795135498047,159.48789978027344,134.7434844970703,107.65739440917969,0.0
200,1880.867431640625,1871.55224609375,31.37636375427246,134.2674102783203,113.81260681152344,93.1521224975586,0.0
400,1778.03955078125,1769.9984130859375,35.71282958984375,113.9293441772461,91.59231567382812,80.4114990234375,0.0
600,1565.985595703125,1557.67822265625,89.46495056152344,94.97808074951172,64.77804565429688,83.07369232177734,0.0
800,1287.078369140625,1276.8515625,180.44447326660156,78.25385284423828,48.10712814331055,102.26848602294922,0.0
1000,1262.3759765625,1254.481689453125,132.17123413085938,65.17347717285156,39.48212432861328,78.9422836303711,0.0
1200,1127.207275390625,1120.865234375,107.44111633300781,49.157081604003906,33.66143035888672,63.419883728027344,0.0
1400,1004.2642211914062,994.870361328125,208.6768798828125,50.23278045654297,22.90692710876465,93.9388656616211,0.0
1600,987.9061889648438,981.8533325195312,116.47012329101562,44.7186164855957,20.39719581604004,60.528648376464844,0.0
1800,960.7494506835938,952.4091186523438,186.70413208007812,41.01131057739258,22.49416160583496,83.4031982421875,0.0
2000,967.8616333007812,961.8800048828125,128.23126220703125,36.307308197021484,14.910255432128906,59.81627655029297,0.0
2200,837.9864501953125,830.3233032226562,176.81405639648438,37.75189971923828,15.327693939208984,76.63121795654297,0.0
2400,825.3253173828125,815.2362060546875,253.8892822265625,35.64924621582031,13.134928703308105,100.89114379882812,0.0
2600,800.022705078125,793.630859375,145.8040313720703,33.3228645324707,12.628111839294434,63.9183349609375,0.0
2800,789.8329467773438,784.7215576171875,109.08607482910156,32.359745025634766,11.89526081085205,51.11369323730469,0.0
3000,779.2177124023438,773.6415405273438,127.17379760742188,30.2641544342041,9.848097801208496,55.762020111083984,0.0
3200,753.9117431640625,744.169189453125,249.76834106445312,30.52964973449707,11.979507446289062,97.42584228515625,0.0
3400,734.8509521484375,727.4949951171875,173.56893920898438,37.081939697265625,10.027153968811035,73.5593490600586,0.0
3600,735.2291259765625,729.1978759765625,145.9662628173828,24.53144645690918,10.440364837646484,60.31269454956055,0.0
3800,771.1773071289062,763.1708984375,206.05484008789062,23.74496078491211,10.392901420593262,80.06423950195312,0.0
4000,661.9641723632812,655.079345703125,175.2523956298828,22.447416305541992,8.845239639282227,68.84835815429688,0.0
4200,715.7186279296875,710.5525512695312,110.26284790039062,33.963218688964844,10.756889343261719,51.66099166870117,0.0
4400,599.5220947265625,592.609375,171.21766662597656,27.99918556213379,8.165437698364258,69.12743377685547,0.0
4600,680.5079956054688,673.3639526367188,181.69131469726562,23.820392608642578,8.808807373046875,71.44017028808594,0.0
4800,720.7587280273438,713.8553466796875,159.2794647216797,35.73231887817383,12.090093612670898,69.0339584350586,0.0
5000,607.4443359375,601.7576904296875,130.96641540527344,31.449134826660156,8.183067321777344,56.8662109375,0.0
5200,608.66748046875,602.1112670898438,159.13735961914062,27.749664306640625,9.799839973449707,65.56228637695312,0.0
5400,602.9500732421875,596.4296264648438,160.54397583007812,26.735380172729492,8.333425521850586,65.20426177978516,0.0
5600,579.8760375976562,573.3446655273438,157.33328247070312,29.05598258972168,9.551631927490234,65.31363677978516,0.0
5800,565.4422607421875,557.5537109375,195.48464965820312,28.676042556762695,12.496700286865234,78.88580322265625,0.0
6000,625.2124633789062,618.981201171875,147.286865234375,31.35593032836914,8.29568099975586,62.312828063964844,0.0
6200,586.1271362304688,579.2136840820312,172.93701171875,26.255203247070312,8.211865425109863,69.13469696044922,0.0
6400,611.3427124023438,605.0009765625,152.68283081054688,27.198514938354492,10.370691299438477,63.41735076904297,0.0
6600,610.1731567382812,602.3624877929688,193.4754638671875,33.11103820800781,7.734342575073242,78.10694885253906,0.0
6800,604.0521240234375,597.7178344726562,149.05458068847656,32.0826301574707,8.891955375671387,63.343055725097656,0.0
7000,648.4207763671875,642.7647705078125,123.91697692871094,36.133174896240234,9.630047798156738,56.5600700378418,0.0
7200,578.3591918945312,570.3306274414062,203.3380889892578,29.495800018310547,8.023499488830566,80.28579711914062,0.0
7400,604.504638671875,599.0372924804688,128.48223876953125,27.29630470275879,8.241375923156738,54.673309326171875,0.0
7600,580.9825439453125,574.4797973632812,156.23956298828125,29.748762130737305,9.094197273254395,65.02751159667969,0.0
7800,560.5596313476562,551.1436767578125,244.24118041992188,29.169843673706055,9.068270683288574,94.15975952148438,0.0
